"","cliente","fecha","pago","id_sucursal","hora"
"723",153,2017-12-07,0,5,16
"724",210,2017-10-29,0,5,12
"725",197,2018-10-16,0,5,16
"726",117,2018-06-07,0,5,10
"727",247,2018-06-02,0,5,12
"728",248,2018-04-08,0,5,16
"729",197,2018-10-02,0,5,16
"730",249,2017-10-31,0,5,13
"731",204,2018-05-22,0,5,12
"732",250,2018-05-23,0,5,11
"733",204,2018-05-16,0,5,12
"734",34,2018-11-16,0,5,12
"735",193,2018-07-27,0,5,14
"736",34,2018-07-02,0,5,11
"737",1,2018-01-31,0,5,17
"738",36,2018-07-23,0,5,14
"739",65,2017-09-17,0,5,11
"740",42,2018-05-16,0,5,11
"741",252,2018-05-13,0,5,13
"742",253,2018-02-23,600,5,10
"743",7,2018-07-02,0,5,16
"744",254,2017-12-24,0,5,13
"745",29,2018-08-26,0,5,11
"746",65,2017-09-18,0,5,15
"747",66,2017-08-12,0,5,11
"748",256,2017-09-14,0,5,11
"749",85,2018-10-02,0,5,10
"750",103,2018-11-21,0,5,12
"751",140,2018-11-13,0,5,16
"752",66,2017-09-03,0,5,11
"753",257,2017-09-10,0,5,10
"754",93,2017-12-18,0,5,14
"755",97,2018-08-23,0,5,13
"756",190,2018-06-04,0,5,16
"757",150,2017-08-13,0,5,10
"758",60,2018-08-26,0,5,13
"759",161,2018-11-21,0,5,10
"760",199,2017-08-03,246.71,5,14
"761",42,2018-08-13,0,5,13
"762",207,2017-09-07,500,5,16
"763",42,2018-05-12,0,5,13
"764",259,2018-01-11,0,5,13
"765",141,2017-11-09,212.07,5,10
"766",18,2018-07-08,0,5,11
"767",128,2018-06-30,0,5,13
"768",260,2017-10-29,0,5,13
